alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
0,0,0.0,32,0,0.0,,,,5,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,AlwaysNegative,0.5
0,0,0.0,32,0,0.0,,,,5,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,PersistenceH0,0.5
54,38,49.10265613783202,32,20,0.625,1.0,0.25,0.25,5,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,RuleGraph,0.5
61,44,56.85570710696339,32,20,0.625,1.0,0.25,0.2,5,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,RuleEuclidean,0.5
0,0,0.0,0,0,,,,,5,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,AlwaysNegative,0.5
0,0,0.0,0,0,,,,,5,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,PersistenceH0,0.5
1,1,4.972375690607735,0,0,,,,,5,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,RuleGraph,0.5
1,1,4.972375690607735,0,0,,,,,5,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,RuleEuclidean,0.5
4,0,0.0,25,4,0.16,6.0,0.75,0.75,10,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.38000000000000006
0,0,0.0,25,0,0.0,,,,10,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.42000000000000004
0,0,0.0,25,0,0.0,,,,10,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.36000000000000004
0,0,0.0,25,0,0.0,,,,10,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.42000000000000004
1,1,14.516129032258064,0,0,,,,,10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.2
0,0,0.0,0,0,,,,,10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.28
0,0,0.0,0,0,,,,,10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.36000000000000004
0,0,0.0,0,0,,,,,10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.38000000000000006
18,17,58.5645933014354,10,2,0.2,7.5,1.0,1.0,10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.22000000000000003
13,12,41.33971291866028,10,2,0.2,7.5,1.0,1.0,10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.32000000000000006
14,13,44.784688995215305,10,2,0.2,7.5,1.0,1.0,10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.32000000000000006
4,3,10.33492822966507,10,2,0.2,7.5,1.0,1.0,10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.6200000000000001
13,4,5.6537102473498235,32,12,0.375,9.5,0.8333333333333334,0.8333333333333334,10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.14
11,3,4.240282685512367,32,10,0.3125,5.5,0.8,0.7,10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.28
13,2,2.8268551236749118,32,12,0.375,6.0,0.8333333333333334,0.75,10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.30000000000000004
14,2,2.8268551236749118,32,12,0.375,8.0,1.0,0.9166666666666666,10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.36000000000000004
3,3,18.652849740932645,0,0,,,,,10,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.24000000000000005
0,0,0.0,0,0,,,,,10,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.26
0,0,0.0,0,0,,,,,10,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.5200000000000001
0,0,0.0,0,0,,,,,10,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.18000000000000002
0,0,0.0,25,0,0.0,,,,10,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,AlwaysNegative,0.5
0,0,0.0,25,0,0.0,,,,10,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,PersistenceH0,0.5
0,0,0.0,0,0,,,,,10,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,AlwaysNegative,0.5
0,0,0.0,0,0,,,,,10,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,PersistenceH0,0.5
0,0,0.0,10,0,0.0,,,,10,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,AlwaysNegative,0.5
0,0,0.0,10,0,0.0,,,,10,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,PersistenceH0,0.5
0,0,0.0,32,0,0.0,,,,10,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,AlwaysNegative,0.5
0,0,0.0,32,0,0.0,,,,10,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,PersistenceH0,0.5
0,0,0.0,0,0,,,,,10,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,AlwaysNegative,0.5
0,0,0.0,0,0,,,,,10,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,PersistenceH0,0.5
